label,message
0,"Hey, are we still meeting for dinner tonight?"
0,Don't forget to pick up the groceries on your way home.
0,Happy Birthday! Hope you have a wonderful day!
0,I'll call you once I'm done with the meeting.
0,Can you send me the report by EOD?
0,Let’s catch up sometime next week!
0,Thanks for helping me move yesterday!
0,Where are you? Been waiting for 10 minutes.
0,Can you please share the address again?
0,Good luck on your exam today!
1,Congratulations! You've won a brand new iPhone. Claim now!
1,Get cheap loans with 0% interest. Apply today!
1,Limited offer! Free subscription for 6 months. Click here.
1,URGENT: Your account has been suspended. Verify now.
1,You've been selected for a $1000 Walmart gift card!
1,Act Now! Lowest insurance rates guaranteed.
1,Earn $500 a day from home. Ask me how!
1,FREE entry into our contest! Text WIN to 88888.
1,You are pre-approved for a credit card. No credit check!
1,Exclusive deal: Buy 1 get 1 free on all products.
0,Did you watch the new Marvel movie yet?
0,"I'm stuck in traffic, will be late by 15 mins."
0,Can you bring my charger tomorrow?
0,Happy anniversary! Wishing you both lots of love!
0,"Lunch was great today, let's do it again soon."
1,Your Netflix account will be blocked. Update payment info!
1,Unlock your cash prize now! Only valid for 24 hours.
1,Lowest mortgage rates! Call now for free consultation.
1,Win a brand new car! Only 1 day left to participate.
1,"Congratulations, you have been chosen for a free cruise trip!"
